17:58:35 | l | 01/01/2017 05:00,0.698,1.11,4.867,4.584,64,25.55
17:58:35 | l | 01/01/2017 05:30,0.686,1.14,4.755,5.211,56,25.55
17:58:36 | l | 01/01/2017 06:00,0.721,1.12,4.843,5.813,67,25.5
17:58:36 | l | 01/01/2017 06:30,0.679,1.22,4.948,4.71,81,25.45
17:58:37 | l | 01/01/2017 07:00,0.66,1.08,5.068,5.353,90,25.45
17:58:37 | l | 01/01/2017 07:30,0.662,1.18,5.263,7.436,67,25.4
17:58:38 | l | 01/01/2017 08:00,0.653,1.21,5.007,6.001,90,25.45
17:58:38 | l | 01/01/2017 08:30,0.665,1.17,4.952,6.414,90,25.55
17:58:39 | l | 01/01/2017 09:00,0.684,1.55,5.022,6.691,88,25.6
17:58:39 | l | 01/01/2017 09:30,0.679,1.09,4.926,6.804,88,25.65
17:58:40 | l | 01/01/2017 10:00,0.667,1.12,4.928,6.641,122,25.75
17:58:40 | l | 01/01/2017 10:30,0.688,1.13,4.808,5.958,91,25.7
17:58:41 | l | 01/01/2017 11:00,0.644,0.99,4.559,6.691,92,25.9
17:58:41 | l | 01/01/2017 11:30,0.694,1.18,4.442,7.122,98,25.7
17:58:42 | l | 01/01/2017 12:00,0.707,1.59,4.314,7.019,97,26
17:58:42 | l | 01/01/2017 12:30,0.714,1.37,4.14,8.154,88,26.05
17:58:43 | l | 01/01/2017 13:00,0.739,1.19,4.149,5.668,98,26.05
17:58:43 | l | 01/01/2017 13:30,0.846,1.51,3.961,7.055,81,26.05
17:58:44 | l | 01/01/2017 14:00,0.815,1.23,3.963,3.833,73,26.05
17:58:44 | l | 01/01/2017 14:30,0.903,1.63,4.072,3.652,53,26.15
17:58:45 | l | 01/01/2017 15:00,0.908,1.48,3.933,3.886,50,26.3
17:58:45 | l | 01/01/2017 15:30,0.957,1.56,4.105,4.397,43,26.4
17:58:46 | l | 01/01/2017 16:00,0.996,1.605,4.121,5.468,45,26.4
17:58:46 | l | 01/01/2017 16:30,1.08,1.78,4.21,4.589,70,26.35
