10:30:54 | tspd | 01/01/2017 22:30,1.163,2.06,4.56,5.642,70,25.1 | 01/01/2017 23:00,1.163,2.01,4.507,6.138,60,25.05 | 01/01/2017 23:30,1.153,1.91,4.588,5.971,68,25 | 01/02/2017 00:00,1.088,1.88,4.594,5.512,60,24.95 | 01/02/2017 00:30,1.073,1.97,4.409,5.433,64,24.95
10:31:04 | tspd | 01/02/2017 01:00,0.966,1.72,4.246,5.945,61,24.9 | 01/02/2017 01:30,0.998,1.58,4.368,5.26,63,24.9 | 01/02/2017 02:00,1.003,1.68,4.486,5.751,59,24.7 | 01/02/2017 02:30,0.963,1.9,4.262,5.998,53,24.75 | 01/02/2017 03:00,1.048,2.03,4.56,5.972,60,24.7
10:31:14 | tspd | 01/02/2017 03:30,0.936,1.6,4.574,6.356,60,24.7 | 01/02/2017 04:00,0.951,1.6,4.915,6.372,61,24.65 | 01/02/2017 04:30,0.965,1.43,4.595,5.961,56,24.55 | 01/02/2017 05:00,0.987,1.61,4.718,5.205,56,24.45 | 01/02/2017 05:30,0.896,1.36,4.649,6.105,60,24.4
10:31:24 | tspd | 01/02/2017 06:00,0.894,1.31,4.611,5.616,53,24.45 | 01/02/2017 06:30,0.965,1.58,4.906,6.142,57,24.45 | 01/02/2017 07:00,0.95,1.61,4.699,6.176,57,24.45 | 01/02/2017 07:30,0.916,1.67,4.646,5.782,60,24.55 | 01/02/2017 08:00,0.935,1.81,4.76,5.34,60,24.95
10:31:35 | tspd | 01/02/2017 08:30,0.885,1.71,4.838,5.591,54,25 | 01/02/2017 09:00,0.91,1.57,4.957,6.133,60,25.05 | 01/02/2017 09:30,0.907,1.56,5.074,6.295,49,24.95 | 01/02/2017 10:00,0.903,1.5,4.903,6.089,52,25 | 01/02/2017 10:30,0.942,1.48,4.926,5.487,60,25.1
10:31:45 | tspd | 01/02/2017 11:00,0.896,1.53,4.907,5.507,59,25.15 | 01/02/2017 11:30,0.918,1.51,4.98,5.698,64,25.25 | 01/02/2017 12:00,0.856,1.25,4.787,6.36,56,25.4 | 01/02/2017 12:30,0.861,1.66,4.571,5.768,71,25.35 | 01/02/2017 13:00,0.835,1.24,4.582,6.024,67,25.3
10:31:55 | tspd | 01/02/2017 13:30,0.889,1.37,4.476,6.199,64,25.4 | 01/02/2017 14:00,0.819,1.35,4.453,6.134,61,25.4 | 01/02/2017 14:30,0.822,1.6,4.303,5.329,52,25.3 | 01/02/2017 15:00,0.807,1.33,4.084,6.103,66,25.35 | 01/02/2017 15:30,0.872,1.45,4.343,6.099,64,25.2
10:32:05 | tspd | 01/02/2017 16:00,0.885,1.6,4.489,6.521,60,25.15 | 01/02/2017 16:30,0.848,1.46,4.207,5.988,64,25 | 01/02/2017 17:00,0.89,1.39,4.282,6.717,66,24.95 | 01/02/2017 17:30,0.931,1.7,4.39,6.32,60,24.8 | 01/02/2017 18:00,0.907,2,4.379,6.184,59,24.75
10:32:15 | tspd | 01/02/2017 18:30,0.917,1.34,4.461,5.845,52,24.65 | 01/02/2017 19:00,0.87,1.39,4.256,5.835,49,24.65 | 01/02/2017 19:30,0.902,1.5,4.432,5.963,52,24.6 | 01/02/2017 20:00,0.96,1.54,4.505,5.973,52,24.45 | 01/02/2017 20:30,0.953,1.84,4.673,5.492,59,24.45
10:32:25 | tspd | 01/02/2017 21:00,0.928,1.39,4.485,5.639,53,24.5 | 01/02/2017 21:30,0.911,1.77,4.51,5.632,56,24.5 | 01/02/2017 22:00,0.899,1.78,4.52,6.001,54,24.45 | 01/02/2017 22:30,0.898,1.31,4.656,5.225,60,24.45 | 01/02/2017 23:00,0.878,1.48,4.682,5.068,63,24.5
10:32:35 | tspd | 01/02/2017 23:30,0.85,1.67,4.653,5.957,71,24.5 | 01/03/2017 00:00,0.85,1.43,4.868,5.985,63,24.55 | 01/03/2017 00:30,0.906,1.49,4.939,6.16,64,24.5 | 01/03/2017 01:00,0.911,1.59,4.701,6.161,52,24.55 | 01/03/2017 01:30,0.865,1.77,4.285,6.27,54,24.5
10:32:45 | tspd | 01/03/2017 02:00,0.925,1.44,4.284,5.463,60,24.45 | 01/03/2017 02:30,0.889,1.35,4.267,6.356,56,24.5 | 01/03/2017 03:00,0.975,2.01,4.244,4.118,56,24.5 | 01/03/2017 03:30,1.088,2.05,4.276,4.72,60,24.5 | 01/03/2017 04:00,1.1,2.08,4.356,4.774,137,24.45
10:32:55 | tspd | 01/03/2017 04:30,1.034,1.73,4.28,4.525,160,24.45 | 01/03/2017 05:00,1.01,1.48,4.179,4.499,163,24.4 | 01/03/2017 05:30,1.026,1.87,4.267,4.295,164,24.8 | 01/03/2017 06:00,1.005,1.55,4.148,5.697,153,24.95 | 01/03/2017 06:30,1.123,1.9,4.349,6.127,61,24.95
